store_id,name,prefecture,address,latitude,longitude,source_url
lect-hiroshima,GiGO LECT広島,広島県,広島県広島市西区扇2丁目1-45 LECT,34.371510,132.407181,https://www.gigo.co.jp/shops/lect-hiroshima
alpark,GiGOアルパーク北棟,広島県,広島県広島市西区草津南4-7-1 アルパーク北棟2F,34.375664,132.392761,https://www.gigo.co.jp/shops/alpark
nakasuji,GiGO中筋,広島県,広島県広島市安佐南区中筋4-11-7,34.455173,132.479172,https://www.gigo.co.jp/shops/nakasuji
onomichi,GiGO尾道,広島県,広島県尾道市新浜1-2-13,34.402485,133.186447,https://www.gigo.co.jp/shops/onomichi
hiro,GiGO広,広島県,広島県呉市広中町1-9,34.228912,132.629333,https://www.gigo.co.jp/shops/hiro
hiroshima-hondori,GiGO広島本通,広島県,広島県広島市中区本通9-30 ランドマークビル1F･B1F,34.392559,132.460846,https://www.gigo.co.jp/shops/hiroshima-hondori
kaita,GiGO海田,広島県,広島県安芸郡海田町南大正町3-35,34.367485,132.533340,https://www.gigo.co.jp/shops/kaita
fukuyama,GiGO福山,広島県,広島県福山市瀬戸町山北300,34.475124,133.316589,https://www.gigo.co.jp/shops/fukuyama
a-ogori,GiGOイオンタウン小郡,山口県,山口県山口市小郡前田町3-6,34.087158,131.398254,https://www.gigo.co.jp/shops/a-ogori
tokushima-minamisuehiro,GiGOスエヒロボウル徳島,徳島県,徳島県徳島市南末広町4-95-2,34.060143,134.573029,https://www.gigo.co.jp/shops/tokushima-minamisuehiro
a-takamatsu,GiGOイオンモール高松,香川県,香川県高松市香西本町1-1 イオンモール高松2F227-2,34.351009,134.003082,https://www.gigo.co.jp/shops/a-takamatsu
marugame,GiGOクレーンゲームオアシス丸亀,香川県,香川県丸亀市蓬莱町56-1,34.296501,133.780197,https://www.gigo.co.jp/shops/marugame
takamatsu,GiGO高松,香川県,香川県高松市勅使町山王535,34.308723,134.016830,https://www.gigo.co.jp/shops/takamatsu
imabari-umagoe,GiGOそよら今治馬越,愛媛県,愛媛県今治市馬越町4-8-1 イオン今治,34.056435,132.980530,https://www.gigo.co.jp/shops/imabari-umagoe
matsuyama,GiGO松山,愛媛県,愛媛県松山市枝松5-7-32,33.828682,132.786514,https://www.gigo.co.jp/shops/matsuyama
kochi-asakurahigashi,GiGOフジグラン高知,高知県,高知県高知市朝倉東町52-15,33.542660,133.498444,https://www.gigo.co.jp/shops/kochi-asakurahigashi
taiyaki-y-hakata,GiGOのたい焼きヨドバシ博多,福岡県,福岡県福岡市博多区博多駅中央街6-12 ヨドバシ博多4F,33.588547,130.422180,https://www.gigo.co.jp/shops/taiyaki-y-hakata
iizuka,GiGOゆめタウン飯塚,福岡県,福岡県飯塚市菰田西3-6-1 ゆめタウン飯塚3F,33.631870,130.685364,https://www.gigo.co.jp/shops/iizuka
cafestand-fukuoka-tenjin,GiGOコラボカフェスタンド福岡天神,福岡県,福岡県福岡市中央区天神２丁目7-6 DADAビル GiGO福岡天神内,33.589725,130.396637,https://www.gigo.co.jp/shops/cafestand-fukuoka-tenjin
mina-tenjin,GiGOミーナ天神,福岡県,福岡県福岡市中央区天神4-3-8 ミーナ天神7F,33.592609,130.398712,https://www.gigo.co.jp/shops/mina-tenjin
y-hakata,GiGOヨドバシ博多,福岡県,福岡県福岡市博多区博多駅中央街6-12 ヨドバシ博多,33.588547,130.422180,https://www.gigo.co.jp/shops/y-hakata
nakama,GiGO中間,福岡県,福岡県中間市蓮花寺3-1-1,33.825840,130.718460,https://www.gigo.co.jp/shops/nakama
fukuoka-tenjin,GiGO福岡天神,福岡県,福岡県福岡市中央区天神2-7-6 DADAビル,33.589725,130.396637,https://www.gigo.co.jp/shops/fukuoka-tenjin
takeo,GiGO武雄,佐賀県,佐賀県武雄市武雄町富岡12517-1,33.198792,130.034286,https://www.gigo.co.jp/shops/takeo
nagasaki,GiGOみらい長崎ココウォーク,長崎県,長崎県長崎市茂里町1-55 みらい長崎ココウォーク,32.762981,129.864777,https://www.gigo.co.jp/shops/nagasaki
omura,GiGOクレーンゲームオアシス サンスパおおむら,長崎県,長崎県大村市森園町663番3,32.923286,129.936096,https://www.gigo.co.jp/shops/omura
isahaya,GiGO諫早,長崎県,長崎県諫早市小川町90-1,32.831367,130.055069,https://www.gigo.co.jp/shops/isahaya
kumamoto,GiGOアミュプラザくまもと,熊本県,熊本県熊本市西区春日3-15-26 アミュプラザくまもと,32.788967,130.688232,https://www.gigo.co.jp/shops/kumamoto
cafestand-kumamoto,GiGOコラボカフェスタンド アミュプラザくまもと,熊本県,熊本県熊本市西区春日3丁目15番26号 アミュプラザくまもと 6F,32.788967,130.688232,https://www.gigo.co.jp/shops/cafestand-kumamoto
kumamoto-airport,GiGO阿蘇くまもと空港,熊本県,熊本県上益城群益城町大字小谷1802-2 阿蘇くまもと空港 新旅客ターミナルビル 3F,,,https://www.gigo.co.jp/shops/kumamoto-airport
a-takajo,GiGOイオン高城,大分県,大分県大分市高城西町28-1 イオン高城店2F,33.241634,131.651596,https://www.gigo.co.jp/shops/a-takajo
nakatsu,GiGO中津,大分県,大分県中津市沖代町1-2-16,33.591774,131.202332,https://www.gigo.co.jp/shops/nakatsu
beppu,GiGO別府,大分県,大分県別府市餅ケ浜町161-2,33.293781,131.502274,https://www.gigo.co.jp/shops/beppu
takajo,GiGO高城,大分県,大分県大分市牧1-161-8,33.239098,131.637192,https://www.gigo.co.jp/shops/takajo
